Date,AveragePrice,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
2015-12-06,0.89,28800396.57,9405464.36,12160838.62,931830.63,6302262.96,5005077.36,1233956.21,63229.39,conventional,2015,TotalUS
2015-11-29,0.99,22617999.38,8094803.56,9003178.41,731008.41,4789009.0,3901953.04,856560.34,30495.62,conventional,2015,TotalUS
2015-10-04,1.02,28243505.52,8353619.97,13775651.69,1209045.07,4905188.79,3664890.84,1189350.26,50947.69,conventional,2015,TotalUS
2015-09-27,1.03,27753508.14,8454208.8,13819912.63,1061979.37,4417407.34,3476492.68,886423.93,54490.73,conventional,2015,TotalUS
2015-08-02,1.09,30358467.88,12115233.76,12219014.12,984702.75,5039517.25,4322985.19,689175.8,27356.26,conventional,2015,TotalUS
2015-07-26,1.07,30652211.08,12196225.93,12009228.05,1017157.74,5429599.36,4627251.87,779807.55,22539.94,conventional,2015,TotalUS
2015-06-07,1.0,36549995.66,16529797.6,12582265.21,1144715.95,6293216.9,5304562.91,943995.95,44658.04,conventional,2015,TotalUS
2015-05-31,1.03,33720159.09,15503613.33,11599634.02,903908.35,5713003.39,4967231.63,726046.25,19725.51,conventional,2015,TotalUS
2015-04-05,1.06,31500669.44,13939014.43,11526980.36,871981.29,5162693.36,4477299.71,666514.74,18878.91,conventional,2015,TotalUS
2015-03-29,1.04,29982648.43,12524637.04,11541041.35,811272.88,5105697.16,4487886.76,610349.2,7461.2,conventional,2015,TotalUS
2015-02-01,0.89,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,conventional,2015,TotalUS
2015-01-25,1.04,28470310.84,12167445.03,10734652.82,768020.05,4800192.94,3978636.9,812924.73,8631.31,conventional,2015,TotalUS
2016-12-04,1.0,31621221.9,11043350.9,9908982.97,428009.84,10240878.19,7187022.58,2988504.98,65350.63,conventional,2016,TotalUS
2016-11-27,1.21,22923062.65,7891487.94,7337341.77,344475.9,7349757.04,5691266.56,1609867.2,48623.28,conventional,2016,TotalUS
2016-10-02,1.23,29615008.49,9534915.56,9123897.74,490123.01,10466072.18,7408765.9,2981275.76,76030.52,conventional,2016,TotalUS
2016-09-25,1.22,30305112.89,10548061.13,9255913.78,492604.3,10008533.68,7440444.59,2476400.79,91688.3,conventional,2016,TotalUS
2016-08-07,1.15,33819909.09,12197105.36,10731379.56,754548.53,10136875.64,8386276.39,1569550.49,181048.76,conventional,2016,TotalUS
2016-07-31,1.23,31201590.22,10168972.37,10423957.83,783937.09,9824722.93,8193011.02,1431744.52,199967.39,conventional,2016,TotalUS
2016-06-05,0.97,40231259.65,13808859.16,13396651.73,1770948.09,11254800.67,8492744.45,2441022.99,321033.23,conventional,2016,TotalUS
2016-05-29,0.94,40019075.24,13682611.21,13829591.06,1583495.93,10923377.04,8085657.41,2657598.78,180120.85,conventional,2016,TotalUS
2016-04-03,0.94,33668450.55,11320969.79,11512621.85,1731910.48,9102948.43,6830380.18,2213379.44,59188.81,conventional,2016,TotalUS
2016-03-27,0.94,35930195.92,11249198.4,12745266.73,1880231.38,10055499.41,7745105.36,2228007.91,82386.14,conventional,2016,TotalUS
2016-02-07,0.76,52288697.89,16573573.78,20470572.61,2546439.11,12698112.39,9083373.04,3373077.87,241661.48,conventional,2016,TotalUS
2016-01-31,0.93,34721249.92,11098088.49,13278053.61,1643703.17,8701404.65,6684515.27,1823889.58,192999.8,conventional,2016,TotalUS
2017-12-03,1.09,33824253.0,11746980.0,10905968.0,583801.0,10587491.0,7730801.0,2748622.0,108068.0,conventional,2017,TotalUS
2017-11-26,1.24,24686675.0,9175316.0,7312239.0,379637.0,7819483.0,5571801.0,2156887.0,90795.0,conventional,2017,TotalUS
2017-10-01,1.64,24610645.21,8342407.59,8354516.32,384794.18,7528927.12,5513111.7,1954129.38,61686.04,conventional,2017,TotalUS
2017-09-24,1.62,24637148.38,8652381.39,8295761.93,385004.72,7304000.34,5442167.06,1792564.59,69268.69,conventional,2017,TotalUS
2017-08-06,1.33,32529920.23,11292580.44,10988313.58,665312.55,9583713.66,6889925.78,2376269.93,317517.95,conventional,2017,TotalUS
2017-06-04,1.24,37352360.59,13248334.78,10157565.24,667066.51,13279394.06,10103007.01,2946264.52,230122.53,conventional,2017,TotalUS
2017-07-30,1.32,31756097.22,11112191.11,11088082.78,596676.12,8959147.21,6337457.44,2396438.66,225251.11,conventional,2017,TotalUS
2017-05-28,1.28,37030893.73,12841952.21,10932970.72,673384.78,12582586.02,9312239.39,3013459.42,256887.21,conventional,2017,TotalUS
2017-04-02,1.21,34468017.36,12245520.55,9733584.68,624709.69,11864202.44,9385516.28,2330300.27,148385.89,conventional,2017,TotalUS
2017-03-26,1.24,32555119.32,11737559.6,9664310.82,611105.54,10542143.36,8498317.81,1844371.94,199453.61,conventional,2017,TotalUS
2017-02-05,0.77,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,conventional,2017,TotalUS
2017-01-29,0.96,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66,conventional,2017,TotalUS
2015-12-27,1.52,549787.59,89709.92,206198.62,5836.04,248043.01,142262.93,105780.08,0.0,organic,2015,TotalUS
2015-11-01,1.47,647789.17,113380.29,262559.59,6583.03,265266.26,139244.36,126021.9,0.0,organic,2015,TotalUS
2015-10-25,1.62,560830.54,109006.18,244222.97,6181.13,201420.26,116814.8,84605.46,0.0,organic,2015,TotalUS
2015-09-06,1.78,593797.17,132181.77,271784.99,5890.57,183939.84,122146.97,61792.87,0.0,organic,2015,TotalUS
2015-08-30,1.66,670005.94,150924.97,325442.96,5569.76,188068.25,113122.37,74945.88,0.0,organic,2015,TotalUS
2015-07-05,1.0,668233.0,205073.0,304597.0,6251.0,152309.0,88261.0,64048.0,0.0,organic,2015,TotalUS
2015-06-28,1.64,659947.03,192182.13,332739.27,5956.87,129068.76,80006.4,49062.36,0.0,organic,2015,TotalUS
2015-05-03,1.37,912681.57,323883.65,380650.64,8951.77,199195.51,119498.18,79697.33,0.0,organic,2015,TotalUS
2015-04-26,1.45,872239.07,321733.2,379382.1,6150.07,164973.7,113575.79,51397.91,0.0,organic,2015,TotalUS
2015-03-01,1.4,814484.79,361996.84,275458.57,5556.02,171473.36,148488.14,22985.22,0.0,organic,2015,TotalUS
2015-02-22,1.51,673446.69,272594.88,230342.87,4883.55,165625.39,133314.63,32310.76,0.0,organic,2015,TotalUS
2015-01-04,1.46,612910.15,233286.13,216611.2,4370.99,158641.83,115068.71,43573.12,0.0,organic,2015,TotalUS
2016-12-25,1.34,914035.42,93875.25,250138.66,3415.27,566606.24,330909.02,235697.22,0.0,organic,2016,TotalUS
2016-11-06,1.68,897671.29,117317.9,266018.89,5049.63,509284.87,284638.32,224646.55,0.0,organic,2016,TotalUS
2016-10-30,1.93,647723.55,123815.8,279842.5,5661.78,238403.47,180631.31,57772.16,0.0,organic,2016,TotalUS
2016-09-04,1.54,1052088.77,137842.79,344378.75,4653.04,565214.19,415589.66,149624.53,0.0,organic,2016,TotalUS
2016-08-28,1.49,948530.88,135742.77,316907.28,5110.77,490770.06,345580.78,145189.28,0.0,organic,2016,TotalUS
2016-07-03,1.47,1073595.37,159903.0,381527.15,11897.11,520268.11,350794.25,169473.86,0.0,organic,2016,TotalUS
2016-06-26,1.5,1007378.78,171054.38,391129.07,6763.46,438431.87,310467.62,127964.25,0.0,organic,2016,TotalUS
2016-05-01,1.28,1317867.0,238992.91,484383.87,22276.6,572213.62,368709.06,203504.56,0.0,organic,2016,TotalUS
2016-04-24,1.25,1475457.53,225429.09,524511.95,8687.81,716828.68,555986.43,160842.25,0.0,organic,2016,TotalUS
